"","subscale_score_colnames"
"1","piq23_2f_EN_amp_total"
"2","piq23_2f_EN_gap_total"
"3","piq23_2f_NL_amp_total"
"4","piq23_2f_NL_gap_total"
"5","piq28_2f_amp"
"6","piq28_2f_gap"
"7","piq28_3f_amp"
"8","piq28_3f_lv"
"9","piq28_3f_caav"
"10","piq28_4f_amp"
"11","piq28_4f_r"
"12","piq28_4f_lv"
"13","piq28_4f_caav"
"14","piq28_5f_amp"
"15","piq28_5f_pet"
"16","piq28_5f_r"
"17","piq28_5f_lv"
"18","piq28_5f_caav"
"19","piq23r_5f_amp"
"20","piq23r_5f_pet"
"21","piq23r_5f_r"
"22","piq23r_5f_lv"
"23","piq23r_5f_caav"
