"","sumscore_colnames","sumscore_realnames"
"1","piv_total_23","PIQ23-NL"
"2","piv_total_28","PIQ28-NL"
"3","ebi_total_6","EBI6-NL"
"4","ebi_total_8","EBI8-NL"
"5","retest_piv_total_23","Retest PIQ23-NL"
"6","retest_piv_total_28","Retest PIQ28-NL"
"7","retest_ebi_total_6","Retest EBI6-NL"
"8","retest_ebi_total_8","Retest EBI8-NL"
"9","pis_total_6","PIS6-NL "
"10","pis_total_7","PIS7-NL "
"11","mev_total","Dutch MEQ30 "
"12","swls_before_total","SWLS Before the Psychedelic Experience "
"13","swls_after_total","SWLS After the Psychedelic Experience "
